nome_cs,competencia,ano_cmpt,mes_cmpt,cod_smsa,regional,n_esf,n_emulti,n_esb,n_medicos,n_mfc,pct_mfc,n_acs,ch_medica_total,cobertura_aps_pct,populacao_referencia,pop_total_censo,pct_idosos,pct_criancas,pct_sem_saneamento,renda_media,n_setores,pct_area_favela,data_competencia,n_esf_egestor,qt_capacidade_equipe,fonte_egestor,data_extracao_egestor,fonte_censo,data_extracao_censo,fonte_favelas,data_extracao_favelas,data_extracao_cnes,ivs_score,ivs_predominante,pct_baixo,pct_medio,pct_elevado,pct_muito_elevado
CENTRO DE SAUDE DOM JOAQUIM,2301,2023,1,4220,NORDESTE,3,0,0,0,0,NA,0,0,89.99,2315560,6989,NA,NA,0.04,1.61,14,0,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.916,Médio,8.44,91.56,0,0
CENTRO DE SAUDE CAPITAO EDUARDO,2301,2023,1,4390,NORDESTE,NA,NA,NA,NA,NA,NA,NA,NA,89.99,2315560,4582,NA,NA,2.65,2.18,10,10.53,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.47,Elevado,0,0,53.03,46.97
CENTRO DE SAUDE SAO MIGUEL ARCANJO,2301,2023,1,2330,CENTRO-SUL,6,0,0,0,0,NA,0,0,89.99,2315560,9790,NA,NA,0.25,2.43,18,86.59,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.755,Muito Elevado,0,0,24.54,75.46
CENTRO DE SAUDE TREVO,2301,2023,1,8440,PAMPULHA,5,0,0,0,0,NA,0,0,89.99,2315560,14486,NA,NA,0.92,2.07,32,4.79,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.515,Médio,5.94,60.17,10.36,23.54
CENTRO DE SAUDE JARDIM GUANABARA,2301,2023,1,6260,NORTE,5,0,0,0,0,NA,0,0,89.99,2315560,15137,NA,NA,0.15,1.72,27,0,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.319,Médio,1.31,71.02,22.13,5.55
CENTRO DE SAUDE SAO GABRIEL - FABIO CORREA LIMA,2301,2023,1,4310,NORDESTE,6,0,0,0,0,NA,0,0,89.99,2315560,13981,NA,NA,0.05,1.71,33,3.59,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.2,Médio,0,79.97,20.03,0
CENTRO DE SAUDE SANTA LUCIA,2301,2023,1,2270,CENTRO-SUL,NA,NA,NA,NA,NA,NA,NA,NA,89.99,2315560,10193,NA,NA,0.2,2.19,21,39.98,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.063,Muito Elevado,24.03,0,21.59,54.38
CENTRO DE SAUDE SANTA CECILIA,2301,2023,1,1320,BARREIRO,8,0,0,0,0,NA,0,0,89.99,2315560,11658,NA,NA,0.02,1.9,25,11.05,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.849,Elevado,0,26.01,63.11,10.88
CENTRO DE SAUDE ITAMARATI,2301,2023,1,8220,PAMPULHA,3,0,0,0,0,NA,0,0,89.99,2315560,15510,NA,NA,0.7,1.45,37,0.18,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.283,Baixo,76.81,18.09,5.1,0
CENTRO DE SAUDE CONFISCO,2301,2023,1,8200,PAMPULHA,7,0,0,0,0,NA,0,0,89.99,2315560,11502,NA,NA,0.13,1.94,24,0,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.608,Elevado,0,39.2,60.8,0
