co_unidade,nome_cs
0298204,CENTRO DE SAUDE OSWALDO CRUZ
0300373,CENTRO DE SAUDE MENINO JESUS
0301671,CENTRO DE SAUDE OSWALDO CRUZ
0302538,CENTRO DE SAUDE SANTA RITA DE CASSIA
0303534,CENTRO DE SAUDE OSWALDO CRUZ
0303542,CENTRO DE SAUDE SANTA AMELIA
0304131,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
0304212,CENTRO DE SAUDE MENINO JESUS
0317535,CENTRO DE SAUDE CARLOS CHAGAS
0317616,CENTRO DE SAUDE ALCIDES LINS
0317640,CENTRO DE SAUDE CARLOS CHAGAS
0317691,CENTRO DE SAUDE MENINO JESUS
0358266,CENTRO DE SAUDE CARLOS CHAGAS
0366188,CENTRO DE SAUDE MENINO JESUS
0371572,CENTRO DE SAUDE DOM ORIONE
0372870,CENTRO DE SAUDE PADRE TARCISIO
0379808,CENTRO DE SAUDE SAO CRISTOVAO
0379867,CENTRO DE SAUDE OSWALDO CRUZ
0391670,CENTRO DE SAUDE ANDRADAS
0397601,CENTRO DE SAUDE VILA LEONINA
0399132,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
0399604,CENTRO DE SAUDE OSWALDO CRUZ
0403628,CENTRO DE SAUDE ALCIDES LINS
0405167,CENTRO DE SAUDE MENINO JESUS
0407186,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
0412023,CENTRO DE SAUDE CARLOS CHAGAS
0415596,CENTRO DE SAUDE COQUEIROS
0417203,CENTRO DE SAUDE OSWALDO CRUZ
0420832,CENTRO DE SAUDE OSWALDO CRUZ
0423599,CENTRO DE SAUDE VENTOSA
0424366,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0425869,CENTRO DE SAUDE OSWALDO CRUZ
0427187,CENTRO DE SAUDE CAMPO ALEGRE
0428221,CENTRO DE SAUDE ANDRADAS
0429228,CENTRO DE SAUDE CONJUNTO SANTA MARIA
0429376,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
0446068,CENTRO DE SAUDE OSWALDO CRUZ
0446173,CENTRO DE SAUDE VILAS REUNIDAS - LEOPOLDO CRISOSTOMO DE CASTRO
0446327,CENTRO DE SAUDE DOM ORIONE
0446939,CENTRO DE SAUDE CARLOS CHAGAS
0449911,CENTRO DE SAUDE VILAS REUNIDAS - LEOPOLDO CRISOSTOMO DE CASTRO
0449970,CENTRO DE SAUDE MENINO JESUS
0450405,CENTRO DE SAUDE CARLOS CHAGAS
0451827,CENTRO DE SAUDE CARLOS CHAGAS
0456659,CENTRO DE SAUDE NORALDINO DE LIMA
0460885,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0462713,CENTRO DE SAUDE SANTA INES
0464473,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
0464708,CENTRO DE SAUDE HAVAI
0465984,CENTRO DE SAUDE CAMPO ALEGRE
0466344,CENTRO DE SAUDE SANTA TEREZINHA
0466557,CENTRO DE SAUDE DOM BOSCO
0467987,CENTRO DE SAUDE SANTA CRUZ - PADRE FERNANDO DE MELLO
0468800,CENTRO DE SAUDE PADRE EUSTAQUIO
0468827,CENTRO DE SAUDE CARLOS CHAGAS
0469106,CENTRO DE SAUDE CARLOS CHAGAS
0470473,CENTRO DE SAUDE MENINO JESUS
0470538,CENTRO DE SAUDE MENINO JESUS
0470562,CENTRO DE SAUDE HORTO
0470570,CENTRO DE SAUDE HORTO
0472107,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
0479063,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0479551,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
0479640,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0479683,CENTRO DE SAUDE OSWALDO CRUZ
0479713,CENTRO DE SAUDE CARLOS CHAGAS
0480665,CENTRO DE SAUDE FLORAMAR
0480878,CENTRO DE SAUDE OSWALDO CRUZ
0483265,CENTRO DE SAUDE CARLOS PRATES
0486914,CENTRO DE SAUDE VILAS REUNIDAS - LEOPOLDO CRISOSTOMO DE CASTRO
0487007,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0487058,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0487090,CENTRO DE SAUDE SAO JORGE
0487147,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0488038,CENTRO DE SAUDE NORALDINO DE LIMA
0489182,CENTRO DE SAUDE ALCIDES LINS
0494607,CENTRO DE SAUDE CIDADE OZANAN
0496421,CENTRO DE SAUDE MENINO JESUS
0498173,CENTRO DE SAUDE DOM ORIONE
0498491,CENTRO DE SAUDE OSWALDO CRUZ
0501220,CENTRO DE SAUDE CONJUNTO SANTA MARIA
0501298,CENTRO DE SAUDE CARLOS CHAGAS
0501379,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
0502677,CENTRO DE SAUDE OSWALDO CRUZ
0503010,CENTRO DE SAUDE CIDADE OZANAN
0503258,CENTRO DE SAUDE OSWALDO CRUZ
0505234,CENTRO DE SAUDE PADRE EUSTAQUIO
0505544,CENTRO DE SAUDE PILAR - OLHOS DAGUA
0508837,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0513776,CENTRO DE SAUDE VILAS REUNIDAS - LEOPOLDO CRISOSTOMO DE CASTRO
0516015,CENTRO DE SAUDE CARLOS CHAGAS
0516554,CENTRO DE SAUDE OSWALDO CRUZ
0516864,CENTRO DE SAUDE CARLOS CHAGAS
0518573,CENTRO DE SAUDE OSWALDO CRUZ
0518611,CENTRO DE SAUDE OSWALDO CRUZ
0518700,CENTRO DE SAUDE HORTO
0519812,CENTRO DE SAUDE MENINO JESUS
0520330,CENTRO DE SAUDE OSWALDO CRUZ
0520438,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0520489,CENTRO DE SAUDE CARLOS CHAGAS
0532800,CENTRO DE SAUDE OSWALDO CRUZ
0533467,CENTRO DE SAUDE PADRE JOAQUIM MAIA
0534145,CENTRO DE SAUDE CARLOS CHAGAS
0534307,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0535230,CENTRO DE SAUDE CONJUNTO SANTA MARIA
0535761,CENTRO DE SAUDE VILA LEONINA
0535893,CENTRO DE SAUDE MENINO JESUS
0539686,CENTRO DE SAUDE MENINO JESUS
0540943,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
0540994,CENTRO DE SAUDE CARLOS PRATES
0541052,CENTRO DE SAUDE OSWALDO CRUZ
0541192,CENTRO DE SAUDE OSWALDO CRUZ
0544590,CENTRO DE SAUDE MENINO JESUS
0545252,CENTRO DE SAUDE VILAS REUNIDAS - LEOPOLDO CRISOSTOMO DE CASTRO
0545600,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
0545686,CENTRO DE SAUDE TIA AMANCIA
0545945,CENTRO DE SAUDE VENTOSA
0546895,CENTRO DE SAUDE OSWALDO CRUZ
0547107,CENTRO DE SAUDE DOM CABRAL
0552100,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0553581,CENTRO DE SAUDE OSWALDO CRUZ
0553654,CENTRO DE SAUDE CARLOS CHAGAS
0555053,CENTRO DE SAUDE CARLOS CHAGAS
0555142,CENTRO DE SAUDE COQUEIROS
0559180,CENTRO DE SAUDE HORTO
0559296,CENTRO DE SAUDE NORALDINO DE LIMA
0601993,CENTRO DE SAUDE MENINO JESUS
0602035,CENTRO DE SAUDE OSWALDO CRUZ
0603562,CENTRO DE SAUDE OSWALDO CRUZ
0605506,CENTRO DE SAUDE SANTA AMELIA
0606103,CENTRO DE SAUDE CARLOS CHAGAS
0606251,CENTRO DE SAUDE CICERO IDELFONSO
0606332,CENTRO DE SAUDE HORTO
0607037,CENTRO DE SAUDE CIDADE OZANAN
0607800,CENTRO DE SAUDE CARLOS CHAGAS
0613746,CENTRO DE SAUDE TIA AMANCIA
0613789,CENTRO DE SAUDE PADRE JOAQUIM MAIA
0614033,CENTRO DE SAUDE SANTA CECILIA
0614637,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
0614793,CENTRO DE SAUDE INDEPENDENCIA
0614912,CENTRO DE SAUDE MENINO JESUS
0614947,CENTRO DE SAUDE MENINO JESUS
0615161,CENTRO DE SAUDE ANDRADAS
0615447,CENTRO DE SAUDE MENINO JESUS
0615692,CENTRO DE SAUDE VILA LEONINA
0616559,CENTRO DE SAUDE CARLOS CHAGAS
0616613,CENTRO DE SAUDE PADRE EUSTAQUIO
0617148,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0617520,CENTRO DE SAUDE MENINO JESUS
0618055,CENTRO DE SAUDE CAMPO ALEGRE
0618241,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0618330,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0618357,CENTRO DE SAUDE CAMPO ALEGRE
0620033,CENTRO DE SAUDE MENINO JESUS
0622435,CENTRO DE SAUDE PADRE JOAQUIM MAIA
0622494,CENTRO DE SAUDE CARLOS PRATES
0630330,CENTRO DE SAUDE ANDRADAS
0632031,CENTRO DE SAUDE OSWALDO CRUZ
0632171,CENTRO DE SAUDE MENINO JESUS
0632228,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
0632252,CENTRO DE SAUDE SANTO ANTONIO
0633984,CENTRO DE SAUDE OSWALDO CRUZ
0634158,CENTRO DE SAUDE OSWALDO CRUZ
0636991,CENTRO DE SAUDE OSWALDO CRUZ
0637084,CENTRO DE SAUDE MENINO JESUS
0641286,CENTRO DE SAUDE OSWALDO CRUZ
0642827,CENTRO DE SAUDE CARLOS CHAGAS
0643009,CENTRO DE SAUDE OSWALDO CRUZ
0643041,CENTRO DE SAUDE CONJUNTO BETANIA
0643661,CENTRO DE SAUDE CARLOS CHAGAS
0643726,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0643874,CENTRO DE SAUDE OSWALDO CRUZ
0643920,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
0644102,CENTRO DE SAUDE OSWALDO CRUZ
0644110,CENTRO DE SAUDE OSWALDO CRUZ
0644129,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
0644145,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0644153,CENTRO DE SAUDE CARLOS CHAGAS
0644218,CENTRO DE SAUDE NORALDINO DE LIMA
0644226,CENTRO DE SAUDE CARLOS CHAGAS
0644781,CENTRO DE SAUDE CARLOS CHAGAS
0644870,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
0646997,CENTRO DE SAUDE OSWALDO CRUZ
0647896,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0653004,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0653047,CENTRO DE SAUDE OSWALDO CRUZ
0653098,CENTRO DE SAUDE OSWALDO CRUZ
0653144,CENTRO DE SAUDE CARLOS CHAGAS
0654116,CENTRO DE SAUDE OSWALDO CRUZ
0657514,CENTRO DE SAUDE MENINO JESUS
0659606,CENTRO DE SAUDE MENINO JESUS
0659819,CENTRO DE SAUDE DOM ORIONE
0665045,CENTRO DE SAUDE SANTA RITA DE CASSIA
0671363,CENTRO DE SAUDE MENINO JESUS
0671592,CENTRO DE SAUDE CARLOS CHAGAS
0671630,CENTRO DE SAUDE MENINO JESUS
0671665,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0672831,CENTRO DE SAUDE CAMPO ALEGRE
0674206,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
0677388,CENTRO DE SAUDE TIA AMANCIA
0677426,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
0677450,CENTRO DE SAUDE TIA AMANCIA
0679682,CENTRO DE SAUDE CACHOEIRINHA
0679690,CENTRO DE SAUDE SAO JOSE
0679712,CENTRO DE SAUDE CARLOS CHAGAS
0679720,CENTRO DE SAUDE CACHOEIRINHA
0679763,CENTRO DE SAUDE OSWALDO CRUZ
0679771,CENTRO DE SAUDE CARLOS CHAGAS
0681598,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
0684740,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0685097,CENTRO DE SAUDE SERRANO
0688681,CENTRO DE SAUDE SANTA RITA DE CASSIA
