nome_cs,faixa_etaria,pop_faixa
CENTRO DE SAUDE DIAMANTE - TEIXEIRA DIAS,50-59,1873
CENTRO DE SAUDE DIAMANTE - TEIXEIRA DIAS,60-69,1480
CENTRO DE SAUDE DIAMANTE - TEIXEIRA DIAS,70+,1277
CENTRO DE SAUDE DOM BOSCO,0-4,449
CENTRO DE SAUDE DOM BOSCO,5-9,492
CENTRO DE SAUDE DOM BOSCO,10-14,535
CENTRO DE SAUDE DOM BOSCO,15-19,641
CENTRO DE SAUDE DOM BOSCO,20-24,809
CENTRO DE SAUDE DOM BOSCO,25-29,864
CENTRO DE SAUDE DOM BOSCO,30-39,1705
CENTRO DE SAUDE DOM BOSCO,40-49,1674
CENTRO DE SAUDE DOM BOSCO,50-59,1912
CENTRO DE SAUDE DOM BOSCO,60-69,1669
CENTRO DE SAUDE DOM BOSCO,70+,1456
CENTRO DE SAUDE DOM CABRAL,0-4,379
CENTRO DE SAUDE DOM CABRAL,5-9,389
CENTRO DE SAUDE DOM CABRAL,10-14,369
CENTRO DE SAUDE DOM CABRAL,15-19,719
CENTRO DE SAUDE DOM CABRAL,20-24,1452
CENTRO DE SAUDE DOM CABRAL,25-29,1040
CENTRO DE SAUDE DOM CABRAL,30-39,1649
CENTRO DE SAUDE DOM CABRAL,40-49,1483
CENTRO DE SAUDE DOM CABRAL,50-59,1673
CENTRO DE SAUDE DOM CABRAL,60-69,1722
CENTRO DE SAUDE DOM CABRAL,70+,1645
CENTRO DE SAUDE DOM JOAQUIM,0-4,373
CENTRO DE SAUDE DOM JOAQUIM,5-9,360
CENTRO DE SAUDE DOM JOAQUIM,10-14,333
CENTRO DE SAUDE DOM JOAQUIM,15-19,360
CENTRO DE SAUDE DOM JOAQUIM,20-24,437
CENTRO DE SAUDE DOM JOAQUIM,25-29,472
CENTRO DE SAUDE DOM JOAQUIM,30-39,1174
CENTRO DE SAUDE DOM JOAQUIM,40-49,1260
CENTRO DE SAUDE DOM JOAQUIM,50-59,945
CENTRO DE SAUDE DOM JOAQUIM,60-69,680
CENTRO DE SAUDE DOM JOAQUIM,70+,593
CENTRO DE SAUDE DOM ORIONE,0-4,590
CENTRO DE SAUDE DOM ORIONE,5-9,692
CENTRO DE SAUDE DOM ORIONE,10-14,681
CENTRO DE SAUDE DOM ORIONE,15-19,843
CENTRO DE SAUDE DOM ORIONE,20-24,1361
CENTRO DE SAUDE DOM ORIONE,25-29,1262
CENTRO DE SAUDE DOM ORIONE,30-39,2261
CENTRO DE SAUDE DOM ORIONE,40-49,2294
CENTRO DE SAUDE DOM ORIONE,50-59,2001
CENTRO DE SAUDE DOM ORIONE,60-69,1683
CENTRO DE SAUDE DOM ORIONE,70+,2246
CENTRO DE SAUDE ERMELINDA,0-4,801
CENTRO DE SAUDE ERMELINDA,5-9,924
CENTRO DE SAUDE ERMELINDA,10-14,1011
CENTRO DE SAUDE ERMELINDA,15-19,1042
CENTRO DE SAUDE ERMELINDA,20-24,1313
CENTRO DE SAUDE ERMELINDA,25-29,1393
CENTRO DE SAUDE ERMELINDA,30-39,2582
CENTRO DE SAUDE ERMELINDA,40-49,2469
CENTRO DE SAUDE ERMELINDA,50-59,2347
CENTRO DE SAUDE ERMELINDA,60-69,1922
CENTRO DE SAUDE ERMELINDA,70+,1561
CENTRO DE SAUDE ETELVINA CARNEIRO,0-4,896
CENTRO DE SAUDE ETELVINA CARNEIRO,5-9,1045
CENTRO DE SAUDE ETELVINA CARNEIRO,10-14,1018
CENTRO DE SAUDE ETELVINA CARNEIRO,15-19,1008
CENTRO DE SAUDE ETELVINA CARNEIRO,20-24,1284
CENTRO DE SAUDE ETELVINA CARNEIRO,25-29,1196
CENTRO DE SAUDE ETELVINA CARNEIRO,30-39,2452
CENTRO DE SAUDE ETELVINA CARNEIRO,40-49,2403
CENTRO DE SAUDE ETELVINA CARNEIRO,50-59,1718
CENTRO DE SAUDE ETELVINA CARNEIRO,60-69,1280
CENTRO DE SAUDE ETELVINA CARNEIRO,70+,756
CENTRO DE SAUDE FELICIDADE II,0-4,448
CENTRO DE SAUDE FELICIDADE II,5-9,536
CENTRO DE SAUDE FELICIDADE II,10-14,512
CENTRO DE SAUDE FELICIDADE II,15-19,531
