cep,lat,lon,motivo
31110202,-19.9053865,-43.9340462,NA
31741224,-19.8471172,-43.9493043,NA
31360350,-19.8709904,-44.0177793,NA
30525500,-19.9327529,-44.0160192,NA
30640170,-19.9712089,-44.017693,NA
30270240,-19.9237726,-43.9067129,NA
31050065,-19.896857,-43.8895124,NA
30335292,-19.9505291,-43.9420584,NA
31210470,-19.9085675,-43.9540189,NA
30180110,-19.9196905,-43.9442261,NA
31230800,-19.9017729,-43.9521808,NA
31990600,-19.8501824,-43.8884689,NA
31845350,-19.8421853,-43.9095422,NA
30640150,-19.9759492,-44.021254,NA
30690250,-19.9791568,-44.0451943,NA
30880375,-19.9063942,-44.0195606,NA
31746010,-19.8057883,-43.937719,NA
31540180,-19.8228838,-43.9865265,NA
31845050,-19.8406386,-43.909271,NA
30644202,-19.9926346,-44.0182089,NA
30642410,-19.9861029,-44.0114876,NA
31360180,-19.8733978,-44.0101063,NA
31980000,-19.8590167,-43.922341,NA
30421300,-19.9318479,-43.9733334,NA
30870120,-19.9033511,-44.0101565,NA
31155290,-19.8765417,-43.931516,NA
31846470,-19.8304262,-43.9079525,NA
31846515,NA,NA,Endereço não geocodificado
30610050,-19.9554616,-44.0129575,NA
30664710,NA,NA,Endereço não geocodificado
